XH,TERM_ID,LABEL,LABEL_SUBTYPE,core_prob,behavior_prob,subgroup_prob,blend_prob,routed_prob,row_level_study_data_mode,CONFIDENCE_ZONE
pjxyqxbj160,2022-2023-2,0,normal,0.06372593194260169,0.10117890260032973,0.8074276270090532,0.0749618231399201,0.8074276270090532,core_plus_behavior,high_negative
pjxyqxbj113,2022-2023-2,0,normal,0.02501878731669324,0.10117890260032973,0.8074276270090532,0.047866821901784186,0.8074276270090532,core_plus_behavior,high_negative
pjxyqxbj159,2022-2023-2,1,single_fail,0.09638379860675908,0.15372291644779798,0.8026872506450956,0.11358553395907076,0.8026872506450956,core_plus_behavior,high_negative
pjwrqxbj985,2022-2023-2,0,normal,0.12579256091598465,,,0.12579256091598465,0.12579256091598465,core_only,high_negative
pjxyqxbk579,2022-2023-2,1,single_fail,0.989506323662558,,,0.989506323662558,0.989506323662558,core_only,high_positive
pjwrqxbj977,2022-2023-2,0,normal,0.27165143463682023,,,0.27165143463682023,0.27165143463682023,core_only,high_negative
pjxpqxbj978,2022-2023-2,0,normal,0.22572728156414373,,,0.22572728156414373,0.22572728156414373,core_only,high_negative
pjxyqwbj412,2022-2023-2,1,single_fail,0.8313149391526269,,,0.8313149391526269,0.8313149391526269,core_only,high_positive
pjxyqxbl713,2022-2023-2,0,normal,0.8561560607276615,,,0.8561560607276615,0.8561560607276615,core_only,high_positive
pjxyqxbl752,2022-2023-2,0,normal,0.09072629256239369,,,0.09072629256239369,0.09072629256239369,core_only,high_negative
pjxyqxbj400,2022-2023-2,0,normal,0.12514748695754369,,,0.12514748695754369,0.12514748695754369,core_only,high_negative
pjxxxxbj944,2022-2023-2,0,normal,0.06108010835460049,,,0.06108010835460049,0.06108010835460049,core_only,high_negative
pjxyqxbk533,2022-2023-2,0,normal,0.034979952610882735,,,0.034979952610882735,0.034979952610882735,core_only,high_negative
pjxyqxbk479,2022-2023-2,0,normal,0.06453897275680072,,,0.06453897275680072,0.06453897275680072,core_only,high_negative
pjxyqxbk452,2022-2023-2,0,normal,0.04028478174713295,,,0.04028478174713295,0.04028478174713295,core_only,high_negative
pjxyqxbk505,2022-2023-2,0,normal,0.034979952610882735,0.10117890260032973,0.8074276270090532,0.05483963760771683,0.8074276270090532,core_plus_behavior,high_negative
pjxyqxbk316,2022-2023-2,0,normal,0.10187091835472986,,,0.10187091835472986,0.10187091835472986,core_only,high_negative
pjxyqxbk358,2022-2023-2,0,normal,0.06737585431200542,,,0.06737585431200542,0.06737585431200542,core_only,high_negative
